outil,categorie,type_source,url,frequence,actif,projets_concernes
pandas,Manipulation de données,atom_github,https://github.com/pandas-dev/pandas/releases.atom,hebdomadaire,oui,"P4; P6; P8; P9; P11; P12; P13"
Polars,Manipulation de données,atom_github,https://github.com/pola-rs/polars/releases.atom,hebdomadaire,oui,"Veille prospective"
DuckDB,SQL analytique local,atom_github,https://github.com/duckdb/duckdb/releases.atom,hebdomadaire,oui,"Veille prospective"
dbt Core,Transformation de données,atom_github,https://github.com/dbt-labs/dbt-core/releases.atom,hebdomadaire,oui,P8
scikit-learn,Machine learning,atom_github,https://github.com/scikit-learn/scikit-learn/releases.atom,hebdomadaire,oui,"P11; P12; P13"
Pandera,Qualité des données,atom_github,https://github.com/unionai-oss/pandera/releases.atom,hebdomadaire,oui,"Veille prospective"
Great Expectations,Qualité des données,atom_github,https://github.com/great-expectations/great_expectations/releases.atom,hebdomadaire,oui,"Veille prospective"
Streamlit,Restitution web,atom_github,https://github.com/streamlit/streamlit/releases.atom,hebdomadaire,oui,"P9; projet veille"
Plotly.py,Visualisation,atom_github,https://github.com/plotly/plotly.py/releases.atom,hebdomadaire,oui,"P6; P9; P11; P12"
Ollama,IA locale,atom_github,https://github.com/ollama/ollama/releases.atom,hebdomadaire,oui,"Projets IA locaux"
llama.cpp,IA locale,atom_github,https://github.com/ggml-org/llama.cpp/releases.atom,hebdomadaire,oui,"Projets IA locaux"
faster-whisper,Transcription locale,atom_github,https://github.com/SYSTRAN/faster-whisper/releases.atom,hebdomadaire,oui,"Transcription locale; Vocal Weather"
Jupyter Notebook,Notebooks,atom_github,https://github.com/jupyter/notebook/releases.atom,hebdomadaire,oui,"P4; P6; P9; P11; P12; P13"
SciPy,Analyse statistique,atom_github,https://github.com/scipy/scipy/releases.atom,hebdomadaire,oui,"P9; P11; P12"
Matplotlib,Visualisation,atom_github,https://github.com/matplotlib/matplotlib/releases.atom,hebdomadaire,oui,"P4; P6; P11; P12"
Seaborn,Visualisation,atom_github,https://github.com/mwaskom/seaborn/releases.atom,hebdomadaire,oui,"P6; P11; P12"
Python,Langage,release_notes,https://www.python.org/downloads/,hebdomadaire,oui,"P4; P6; P8; P9; P11; P12; P13"
MySQL,Base de données,release_notes,https://dev.mysql.com/doc/relnotes/mysql/8.4/en/,mensuelle,oui,"P3; P5; P8"
Power BI,Business Intelligence,rss,https://powerbi.microsoft.com/blog/feed/,hebdomadaire,oui,"P7; P10"
Snowflake,Entrepôt de données,release_notes,https://docs.snowflake.com/en/release-notes/overview,hebdomadaire,oui,P8
GPT (OpenAI),Modèles de langage / multimodal,provider_changelog,https://help.openai.com/en/articles/9624314-model-release-notes,hebdomadaire,oui,"Veille IA; comparaison de modèles"
Claude (Anthropic),Modèles de langage / multimodal,provider_changelog,https://docs.anthropic.com/en/release-notes/overview,hebdomadaire,oui,"Veille IA; comparaison de modèles"
Gemini (Google),Modèles de langage / multimodal,provider_changelog,https://ai.google.dev/gemini-api/docs/changelog,hebdomadaire,oui,"Veille IA; comparaison de modèles"
Llama (Meta),LLM open weights,provider_news,https://www.llama.com/,hebdomadaire,oui,"LLM locaux; expérimentation"
Qwen,LLM open weights,provider_news,https://qwenlm.github.io/blog/,hebdomadaire,oui,"LLM locaux; transcription assistée"
Mistral,LLM open weights et API,provider_changelog,https://docs.mistral.ai/getting-started/changelog/,hebdomadaire,oui,"LLM locaux; expérimentation"
DeepSeek,LLM open weights,provider_news,https://github.com/deepseek-ai,hebdomadaire,oui,"LLM locaux; expérimentation"
Gemma (Google),LLM open weights,provider_news,https://ai.google.dev/gemma,hebdomadaire,oui,"LLM locaux; expérimentation"
Phi (Microsoft),LLM léger,provider_news,https://github.com/microsoft/Phi-3CookBook,hebdomadaire,oui,"LLM locaux; expérimentation légère"
Whisper,Transcription automatique,provider_news,https://github.com/openai/whisper,hebdomadaire,oui,"Transcription locale; Vocal Weather"
Stable Diffusion,Génération d'images,provider_news,https://stability.ai/news,hebdomadaire,oui,"Vision; expérimentation IA"
FLUX,Génération d'images,provider_news,https://bfl.ai/,hebdomadaire,oui,"Vision; expérimentation IA"
